,0
0,Alabama
1,Arizona
2,Arkansas
3,Connecticut
4,Delaware
5,Hawaii
6,Idaho
7,Illinois
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Nebraska
18,Nevada
19,New Hampshire
20,North Dakota
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
